To,Location
sw[0],PIN_L22
sw[1],PIN_L21
sw[2],PIN_M22
sw[3],PIN_V12
sw[4],PIN_W12
sw[5],PIN_U12
sw[6],PIN_U11
sw[7],PIN_M2
sw[8],PIN_M1
sw[9],PIN_L2
hex0[0],PIN_J2
hex0[1],PIN_J1
hex0[2],PIN_H2
hex0[3],PIN_H1
hex0[4],PIN_F2
hex0[5],PIN_F1
hex0[6],PIN_E2
hex1[0],PIN_E1
hex1[1],PIN_H6
hex1[2],PIN_H5
hex1[3],PIN_H4
hex1[4],PIN_G3
hex1[5],PIN_D2
hex1[6],PIN_D1
hex2[0],PIN_G5
hex2[1],PIN_G6
hex2[2],PIN_C2
hex2[3],PIN_C1
hex2[4],PIN_E3
hex2[5],PIN_E4
hex2[6],PIN_D3
hex3[0],PIN_F4
hex3[1],PIN_D5
hex3[2],PIN_D6
hex3[3],PIN_J4
hex3[4],PIN_L8
hex3[5],PIN_F3
hex3[6],PIN_D4
ledg[0],PIN_U22
ledg[1],PIN_U21
ledg[2],PIN_V22
ledg[3],PIN_V21
ledg[4],PIN_W22
ledg[5],PIN_W21
ledg[6],PIN_Y22
ledg[7],PIN_Y21
ledr[0],PIN_R20
ledr[1],PIN_R19
ledr[2],PIN_U19
ledr[3],PIN_Y19
ledr[4],PIN_T18
ledr[5],PIN_V19
ledr[6],PIN_Y18
ledr[7],PIN_U18
ledr[8],PIN_R18
ledr[9],PIN_R17
key[0],PIN_R22
key[1],PIN_R21
key[2],PIN_T22
key[3],PIN_T21
